,p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,line,length,shot,control,predscore,wprob
898,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,1,2.01,run,1,False,,1070173,3,0,0,0,0,16,8,0.1,0,1,17,0,13,,107,7.84,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,1,1,1,True,202,219,4,OUTSIDE_OFFSTUMP,FULL,PUSH,1.0,165,46.47
899,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,4,2.04,no run,0,False,,1070173,3,0,0,0,0,16,9,0.4,0,2,18,0,16,,104,6.75,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,0,1,0,True,154,224,5,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,1.0,162,43.17
900,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,5,2.05,no run,0,False,,1070173,3,0,0,0,0,16,10,0.5,0,2,18,0,17,,103,6.35,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,0,1,0,True,221,193,3,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,160,41.01
901,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,6,2.06,run,1,False,,1070173,3,0,0,0,0,17,11,1.0,0,3,19,0,18,,102,6.33,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,1,1,1,True,136,209,5,OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,159,39.94
902,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,1,5.01,run,1,False,,1070173,6,0,0,0,0,22,16,1.1,0,4,40,0,31,,89,7.74,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,1,1,1,True,324,135,2,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,166,47.58
903,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,4,5.04,four,4,False,,1070173,6,0,0,0,0,26,17,1.4,0,9,45,0,34,,86,7.94,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,4,1,4,True,360,109,2,ON_THE_STUMPS,FULL_TOSS,FLICK,1.0,167,48.69
904,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,5,5.05,run,1,False,,1070173,6,0,0,0,0,27,18,1.5,0,10,46,0,35,,85,7.88,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,1,1,1,True,125,141,7,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DAB,1.0,167,48.69
905,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,1,14.01,four,4,False,,1070173,15,0,0,0,0,71,42,2.1,0,18,147,1,85,,35,10.37,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,4,1,4,True,118,350,5,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,205,83.77
906,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,2,14.02,four,4,False,,1070173,15,0,0,0,0,75,43,2.2,0,22,151,1,86,,34,10.53,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,4,1,4,True,241,14,1,ON_THE_STUMPS,FULL,LEG_GLANCE,1.0,208,85.49
907,1178422,1,Shubman Gill,1070173,Kolkata Knight Riders,Lasith Malinga,49758,Mumbai Indians,3,14.03,run,1,False,,1070173,15,0,0,0,0,76,44,2.3,0,23,152,1,87,,33,10.48,,,120,2019-04-28,2019,"Eden Gardens, Kolkata",India,Kolkata Knight Riders,Mumbai Indians,IPL,RHB,RF,pace bowler,1,1,1,True,298,247,3,ON_THE_STUMPS,FULL,FLICK,1.0,207,84.94
