,date,team,inns_number,opposition,ground,dismissal,runs,balls,outs,dots,1s,2s,3s,4s,5s,6s,SR,Control%
675,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,0,1,0,1,0,0,0,0,0,0,0.0,100.0
789,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,0,2,0,2,0,0,0,0,0,0,0.0,50.0
2215,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,1,3,0,2,1,0,0,0,0,0,33.33,66.67
1761,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,2,4,0,2,2,0,0,0,0,0,50.0,75.0
562,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,2,5,0,3,2,0,0,0,0,0,40.0,80.0
2225,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,6,0,3,3,0,0,0,0,0,50.0,83.33
318,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,7,0,4,3,0,0,0,0,0,42.86,85.71
451,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",,3,8,0,5,3,0,0,0,0,0,37.5,75.0
565,2018-04-14,Kolkata Knight Riders,1,Sunrisers Hyderabad,"Eden Gardens, Kolkata",caught,3,9,1,6,3,0,0,0,0,0,33.33,66.67
1073,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",,4,1,0,0,0,0,0,1,0,0,400.0,100.0
2068,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",,5,2,0,0,1,0,0,1,0,0,250.0,100.0
2239,2018-04-16,Kolkata Knight Riders,1,Delhi Capitals,"Eden Gardens, Kolkata",,6,3,0,0,2,0,0,1,0,0,200.0,100.0
