1s,2s,3s,4s,5s,6s,ball,ball_id,balls,bat,bat_hand,bowl,bowl_category,bowl_kind,bowl_style,bowler_dismissed?,control,country,date,dismissal,dots,ground,Index,inns,inns_number,length,line,noball,opposition,outs,over,phase,runs,shot,team,wide,year
0,0,0,0,0,0,1,0.01,0,Shubman Gill,RHB,Deepak Chahar,RAP,pace bowler,RM,0,1,United Arab Emirates,10/15/2021,"",0,Dubai International Cricket Stadium,1137,1,2,GOOD_LENGTH,DOWN_LEG,0,Chennai Super Kings,0,1,PP,0,LEFT_ALONE,Kolkata Knight Riders,1,2021
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Bhuvneshwar Kumar,RAP,pace bowler,RM,0,1,United Arab Emirates,10/3/2021,"",1,Dubai International Cricket Stadium,973,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Sunrisers Hyderabad,0,1,PP,0,LEFT_ALONE,Kolkata Knight Riders,0,2021
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Chris Morris,RAP,pace bowler,RFM,0,1,United Arab Emirates,10/21/2020,"",1,"Zayed Cricket Stadium, Abu Dhabi",666,1,1,FULL,OUTSIDE_OFFSTUMP,0,Royal Challengers Bangalore,0,1,PP,0,PUSH,Kolkata Knight Riders,0,2020
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Dushmantha Chameera,RAP,pace bowler,RF,0,0,India,3/28/2022,"",1,"Wankhede Stadium, Mumbai",1183,1,2,SHORT_OF_A_GOOD_LENGTH,ON_THE_STUMPS,0,Lucknow Super Giants,0,1,PP,0,FLICK,Gujarat Titans,0,2022
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Jaydev Unadkat,LAP,pace bowler,LM,0,0,United Arab Emirates,10/7/2021,"",1,Sharjah Cricket Stadium,1024,1,1,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Rajasthan Royals,0,1,PP,0,DEFENDED,Kolkata Knight Riders,0,2021
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Jofra Archer,RAP,pace bowler,RF,0,1,United Arab Emirates,9/30/2020,"",1,Dubai International Cricket Stadium,459,1,1,FULL,OUTSIDE_OFFSTUMP,0,Rajasthan Royals,0,1,PP,0,DEFENDED,Kolkata Knight Riders,0,2020
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Kagiso Rabada,RAP,pace bowler,RF,0,1,United Arab Emirates,10/3/2020,"",1,Sharjah Cricket Stadium,494,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Delhi Capitals,0,1,PP,0,COVER_DRIVE,Kolkata Knight Riders,0,2020
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Mohammed Shami,RAP,pace bowler,RF,0,1,India,5/3/2019,"",1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",319,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Punjab Kings,0,1,PP,0,DEFENDED,Kolkata Knight Riders,0,2019
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Mohammed Siraj,RAP,pace bowler,RMF,0,1,United Arab Emirates,9/20/2021,"",1,"Zayed Cricket Stadium, Abu Dhabi",881,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Royal Challengers Bangalore,0,1,PP,0,DEFENDED,Kolkata Knight Riders,0,2021
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Sandeep Sharma,RAP,pace bowler,RM,0,1,United Arab Emirates,10/18/2020,"",1,"Zayed Cricket Stadium, Abu Dhabi",629,1,1,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Sunrisers Hyderabad,0,1,PP,0,PUSH,Kolkata Knight Riders,0,2020
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Trent Boult,LAP,pace bowler,LFM,0,1,United Arab Emirates,9/23/2020,"",1,"Zayed Cricket Stadium, Abu Dhabi",385,1,2,YORKER,OUTSIDE_OFFSTUMP,0,Mumbai Indians,0,1,PP,0,PUSH,Kolkata Knight Riders,0,2020
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Trent Boult,LAP,pace bowler,LFM,0,1,United Arab Emirates,9/23/2021,"",1,"Zayed Cricket Stadium, Abu Dhabi",918,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Mumbai Indians,0,1,PP,0,LEFT_ALONE,Kolkata Knight Riders,0,2021
0,0,0,0,0,0,1,0.01,1,Shubman Gill,RHB,Tushar Deshpande,RAP,pace bowler,RM,0,1,United Arab Emirates,10/24/2020,"",1,"Zayed Cricket Stadium, Abu Dhabi",673,1,1,SHORT_OF_A_GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Delhi Capitals,0,1,PP,0,CUT_SHOT,Kolkata Knight Riders,0,2020
0,0,0,0,0,0,1,1.01,0,Shubman Gill,RHB,Arshdeep Singh,LAP,pace bowler,LMF,0,0,India,4/8/2022,"",0,"Brabourne Stadium, Mumbai",1238,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Punjab Kings,0,2,PP,0,LEFT_ALONE,Gujarat Titans,1,2022
0,0,0,0,0,0,1,1.01,0,Shubman Gill,RHB,Tushar Deshpande,RAP,pace bowler,RM,0,0,India,5/10/2024,"",0,"Narendra Modi Stadium, Ahmedabad",2380,1,1,FULL,DOWN_LEG,0,Chennai Super Kings,0,2,PP,0,LEG_GLANCE,Gujarat Titans,1,2024
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Adam Milne,RAP,pace bowler,RF,0,1,United Arab Emirates,9/23/2021,"",1,"Zayed Cricket Stadium, Abu Dhabi",921,1,2,SHORT_OF_A_GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Mumbai Indians,0,2,PP,0,DEFENDED,Kolkata Knight Riders,0,2021
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Akash Madhwal,RAP,pace bowler,RMF,0,0,India,5/12/2023,"",1,"Wankhede Stadium, Mumbai",1893,1,2,SHORT_OF_A_GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Mumbai Indians,0,2,PP,0,STEERED,Gujarat Titans,0,2023
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Ankit Rajpoot,RAP,pace bowler,RM,0,1,United Arab Emirates,9/30/2020,"",1,Dubai International Cricket Stadium,463,1,1,SHORT_OF_A_GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Rajasthan Royals,0,2,PP,0,LEFT_ALONE,Kolkata Knight Riders,0,2020
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Arshdeep Singh,LAP,pace bowler,LMF,0,1,India,5/3/2019,"",1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",322,1,2,GOOD_LENGTH,ON_THE_STUMPS,0,Punjab Kings,0,2,PP,0,STEERED,Kolkata Knight Riders,0,2019
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Axar Patel,SLA,spin bowler,SLA,0,1,United Arab Emirates,9/28/2021,"",1,Sharjah Cricket Stadium,933,1,2,FULL,ON_THE_STUMPS,0,Delhi Capitals,0,2,PP,0,DEFENDED,Kolkata Knight Riders,0,2021
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Dushmantha Chameera,RAP,pace bowler,RF,0,0,India,5/10/2022,"",1,"Maharashtra Cricket Association Stadium, Pune",1422,1,1,SHORT_OF_A_GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Lucknow Super Giants,0,2,PP,0,CUT_SHOT,Gujarat Titans,0,2022
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Ishant Sharma,RAP,pace bowler,RFM,0,1,India,5/2/2023,"",1,"Narendra Modi Stadium, Ahmedabad",1796,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Delhi Capitals,0,2,PP,0,LEFT_ALONE,Gujarat Titans,0,2023
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Jason Behrendorff,LAP,pace bowler,LFM,0,1,India,4/25/2023,"",1,"Narendra Modi Stadium, Ahmedabad",1725,1,1,SHORT_OF_A_GOOD_LENGTH,ON_THE_STUMPS,0,Mumbai Indians,0,2,PP,0,DEFENDED,Gujarat Titans,0,2023
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Kagiso Rabada,RAP,pace bowler,RF,0,1,India,5/3/2022,"",1,"Dr DY Patil Sports Academy, Mumbai",1379,1,1,SHORT_OF_A_GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Punjab Kings,0,2,PP,0,DEFENDED,Gujarat Titans,0,2022
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Krunal Pandya,SLA,spin bowler,SLA,0,1,India,4/22/2023,"",1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1722,1,1,GOOD_LENGTH,ON_THE_STUMPS,0,Lucknow Super Giants,0,2,PP,0,FLICK,Gujarat Titans,0,2023
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Krunal Pandya,SLA,spin bowler,SLA,0,1,India,5/5/2019,"",1,"Wankhede Stadium, Mumbai",373,1,1,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Mumbai Indians,0,2,PP,0,COVER_DRIVE,Kolkata Knight Riders,0,2019
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Marco Jansen,LAP,pace bowler,LF,0,1,India,4/11/2022,"",1,"Dr DY Patil Sports Academy, Mumbai",1298,1,1,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Sunrisers Hyderabad,0,2,PP,0,DEFENDED,Gujarat Titans,0,2022
0,0,0,0,0,0,1,1.01,1,Shubman Gill,RHB,Mohammed Shami,RAP,pace bowler,RF,0,1,India,4/26/2021,"",1,"Narendra Modi Stadium, Ahmedabad",838,1,2,GOOD_LENGTH,OUTSIDE_OFFSTUMP,0,Punjab Kings,0,2,PP,0,PUSH,Kolkata Knight Riders,0,2021
