,inns_number,bat,team,bowl,opposition,ball,ball_id,outs,dismissal,over,phase,noball,wide,date,year,ground,country,bat_hand,bowl_style,bowl_kind,bowl_category,runs,balls,line,length,shot,control,inns,1s,2s,3s,4s,5s,6s,bowler_dismissed?,dots
772,1.0,Shubman Gill,Kolkata Knight Riders,Billy Stanlake,Sunrisers Hyderabad,5.0,13.05,0,,14.0,Middle,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,STEERED,1.0,1,0,0,0,0,0,0,0,1
166,1.0,Shubman Gill,Kolkata Knight Riders,Rashid Khan,Sunrisers Hyderabad,4.0,15.04,0,,16.0,Middle,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,1,0,0,0,0,0,0,0,1
165,1.0,Shubman Gill,Kolkata Knight Riders,Rashid Khan,Sunrisers Hyderabad,2.0,15.02,0,,16.0,Middle,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
514,1.0,Shubman Gill,Kolkata Knight Riders,Siddarth Kaul,Sunrisers Hyderabad,5.0,14.05,0,,15.0,Middle,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
167,1.0,Shubman Gill,Kolkata Knight Riders,Rashid Khan,Sunrisers Hyderabad,5.0,15.05,0,,16.0,Middle,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,LBG,spin bowler,RWS,1.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,1,1,0,0,0,0,0,0,0
124,1.0,Shubman Gill,Kolkata Knight Riders,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,16.04,1,caught,17.0,Slog,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,0.0,1.0,WIDE_OUTSIDE_OFFSTUMP,GOOD_LENGTH,COVER_DRIVE,0.0,1,0,0,0,0,0,0,1,1
773,1.0,Shubman Gill,Kolkata Knight Riders,Billy Stanlake,Sunrisers Hyderabad,6.0,13.06,0,,14.0,Middle,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,RF,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,SHORT,CUT_SHOT,0.0,1,0,0,0,0,0,0,0,1
122,1.0,Shubman Gill,Kolkata Knight Riders,Bhuvneshwar Kumar,Sunrisers Hyderabad,2.0,16.02,0,,17.0,Slog,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,0.0,1.0,,,DEFENDED,1.0,1,0,0,0,0,0,0,0,1
123,1.0,Shubman Gill,Kolkata Knight Riders,Bhuvneshwar Kumar,Sunrisers Hyderabad,3.0,16.03,0,,17.0,Slog,0.0,0.0,2018-04-14,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,0.0,1.0,OUTSIDE_OFFSTUMP,FULL,ON_DRIVE,0.0,1,0,0,0,0,0,0,0,1
1398,1.0,Shubman Gill,Kolkata Knight Riders,Rahul Tewatia,Delhi Capitals,2.0,19.02,1,caught,20.0,Slog,0.0,0.0,2018-04-16,2018.0,"Eden Gardens, Kolkata",India,RHB,LB,spin bowler,RWS,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,0.0,1,0,0,0,0,0,0,1,1
68,1.0,Shubman Gill,Kolkata Knight Riders,Trent Boult,Delhi Capitals,3.0,17.03,0,,18.0,Slog,0.0,0.0,2018-04-16,2018.0,"Eden Gardens, Kolkata",India,RHB,LFM,pace bowler,LAP,4.0,1.0,DOWN_LEG,SHORT_OF_A_GOOD_LENGTH,PULL,1.0,1,0,0,0,1,0,0,0,0
1179,1.0,Shubman Gill,Kolkata Knight Riders,Chris Morris,Delhi Capitals,7.0,18.07,0,,19.0,Slog,0.0,0.0,2018-04-16,2018.0,"Eden Gardens, Kolkata",India,RHB,RFM,pace bowler,RAP,0.0,1.0,DOWN_LEG,FULL_TOSS,FLICK,0.0,1,0,0,0,0,0,0,0,1
1178,1.0,Shubman Gill,Kolkata Knight Riders,Chris Morris,Delhi Capitals,5.0,18.05,0,,19.0,Slog,0.0,0.0,2018-04-16,2018.0,"Eden Gardens, Kolkata",India,RHB,RFM,pace bowler,RAP,1.0,1.0,ON_THE_STUMPS,FULL,FLICK,1.0,1,1,0,0,0,0,0,0,0
69,1.0,Shubman Gill,Kolkata Knight Riders,Trent Boult,Delhi Capitals,4.0,17.04,0,,18.0,Slog,0.0,0.0,2018-04-16,2018.0,"Eden Gardens, Kolkata",India,RHB,LFM,pace bowler,LAP,1.0,1.0,ON_THE_STUMPS,FULL,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
1271,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Punjab Kings,7.0,16.07,0,,17.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,4.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,1.0,1,0,0,0,1,0,0,0,0
1272,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Punjab Kings,2.0,18.02,0,,19.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,1.0,1.0,,,LEG_GLANCE,1.0,1,1,0,0,0,0,0,0,0
1309,1.0,Shubman Gill,Kolkata Knight Riders,Ankit Rajpoot,Punjab Kings,8.0,17.08,0,,18.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,4.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,1.0,1,0,0,0,1,0,0,0,0
1308,1.0,Shubman Gill,Kolkata Knight Riders,Ankit Rajpoot,Punjab Kings,7.0,17.07,0,,18.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,2.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,0.0,1,0,1,0,0,0,0,0,0
1307,1.0,Shubman Gill,Kolkata Knight Riders,Ankit Rajpoot,Punjab Kings,6.0,17.06,0,,18.0,Slog,0.0,1.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,0.0,0.0,DOWN_LEG,FULL_TOSS,LEFT_ALONE,1.0,1,0,0,0,0,0,0,0,0
12,1.0,Shubman Gill,Kolkata Knight Riders,Andrew Tye,Punjab Kings,5.0,19.05,0,,20.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,RMF,pace bowler,RAP,1.0,1.0,ON_THE_STUMPS,FULL,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
1305,1.0,Shubman Gill,Kolkata Knight Riders,Ankit Rajpoot,Punjab Kings,4.0,17.04,0,,18.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,0.0,1.0,ON_THE_STUMPS,YORKER,ON_DRIVE,0.0,1,0,0,0,0,0,0,0,1
1273,1.0,Shubman Gill,Kolkata Knight Riders,Barinder Sran,Punjab Kings,4.0,18.04,0,,19.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,LM,pace bowler,LAP,1.0,1.0,OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
13,1.0,Shubman Gill,Kolkata Knight Riders,Andrew Tye,Punjab Kings,7.0,19.07,0,,20.0,Slog,0.0,0.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,RMF,pace bowler,RAP,1.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
1306,1.0,Shubman Gill,Kolkata Knight Riders,Ankit Rajpoot,Punjab Kings,5.0,17.05,0,,18.0,Slog,0.0,1.0,2018-04-21,2018.0,"Eden Gardens, Kolkata",India,RHB,RM,pace bowler,RAP,0.0,0.0,WIDE_OUTSIDE_OFFSTUMP,SHORT,LEFT_ALONE,1.0,1,0,0,0,0,0,0,0,0
734,2.0,Shubman Gill,Kolkata Knight Riders,Vijay Shankar,Delhi Capitals,4.0,8.04,0,,9.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,RM,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,1,0,0,0,0,0,0,0
735,2.0,Shubman Gill,Kolkata Knight Riders,Vijay Shankar,Delhi Capitals,6.0,8.06,0,,9.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,RM,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,0.0,1,1,0,0,0,0,0,0,0
71,2.0,Shubman Gill,Kolkata Knight Riders,Trent Boult,Delhi Capitals,6.0,12.06,0,,13.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LFM,pace bowler,LAP,0.0,1.0,ON_THE_STUMPS,GOOD_LENGTH,CUT_SHOT,1.0,1,0,0,0,0,0,0,0,1
733,2.0,Shubman Gill,Kolkata Knight Riders,Vijay Shankar,Delhi Capitals,3.0,8.03,0,,9.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,RM,pace bowler,RAP,6.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,0,0,0,0,0,1,0,0
70,2.0,Shubman Gill,Kolkata Knight Riders,Trent Boult,Delhi Capitals,1.0,12.01,0,,13.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LFM,pace bowler,LAP,1.0,1.0,DOWN_LEG,GOOD_LENGTH,STEERED,1.0,1,1,0,0,0,0,0,0,0
72,2.0,Shubman Gill,Kolkata Knight Riders,Trent Boult,Delhi Capitals,7.0,12.07,0,,13.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LFM,pace bowler,LAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,1.0,1,1,0,0,0,0,0,0,0
538,2.0,Shubman Gill,Kolkata Knight Riders,Avesh Khan,Delhi Capitals,3.0,11.03,0,,12.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,RFM,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,COVER_DRIVE,0.0,1,1,0,0,0,0,0,0,0
537,2.0,Shubman Gill,Kolkata Knight Riders,Avesh Khan,Delhi Capitals,6.0,5.06,0,,6.0,PP,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,RFM,pace bowler,RAP,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,STEERED,1.0,1,1,0,0,0,0,0,0,0
466,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,1.0,15.01,0,,16.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,0.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,REVERSE_SWEEP,0.0,1,0,0,0,0,0,0,0,1
459,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,1.0,9.01,0,,10.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,1.0,1,1,0,0,0,0,0,0,0
460,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,5.0,9.05,0,,10.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,4.0,1.0,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,FLICK,1.0,1,0,0,0,1,0,0,0,0
461,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,6.0,9.06,0,,10.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,1.0,1,1,0,0,0,0,0,0,0
462,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,1.0,13.01,0,,14.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,4.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,0.0,1,0,0,0,1,0,0,0,0
463,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,2.0,13.02,0,,14.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,1.0,1.0,WIDE_OUTSIDE_OFFSTUMP,FULL,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
464,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,5.0,13.05,0,,14.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,2.0,1.0,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,CUT_SHOT,0.0,1,0,1,0,0,0,0,0,0
465,2.0,Shubman Gill,Kolkata Knight Riders,Amit Mishra,Delhi Capitals,6.0,13.06,0,,14.0,Middle,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,LB,spin bowler,RWS,1.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,COVER_DRIVE,1.0,1,1,0,0,0,0,0,0,0
536,2.0,Shubman Gill,Kolkata Knight Riders,Avesh Khan,Delhi Capitals,5.0,5.05,0,,6.0,PP,0.0,0.0,2018-04-27,2018.0,"Feroz Shah Kotla, Delhi",India,RHB,RFM,pace bowler,RAP,4.0,1.0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,ON_DRIVE,1.0,1,0,0,0,1,0,0,0,0
