,bat,date,team,opposition,inns_number,ball,ball_id,outs,over,noball,wide,year,runs,balls,control,inns,1s,2s,3s,4s,5s,6s,bowler_dismissed?,dots
0,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,5.0,13.05,0,14.0,0.0,0.0,2018.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,1
6,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,11.0,26.11,0,28.0,0.0,0.0,4036.0,0.0,2.0,1.0,2,0,0,0,0,0,0,0,2
3,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,16.0,40.160000000000004,0,43.0,0.0,0.0,6054.0,1.0,3.0,2.0,3,1,0,0,0,0,0,0,2
2,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,18.0,55.18,0,59.0,0.0,0.0,8072.0,2.0,4.0,3.0,4,2,0,0,0,0,0,0,2
1,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,22.0,70.22,0,75.0,0.0,0.0,10090.0,2.0,5.0,4.0,5,2,0,0,0,0,0,0,3
4,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,27.0,85.27,0,91.0,0.0,0.0,12108.0,3.0,6.0,5.0,6,3,0,0,0,0,0,0,3
7,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,29.0,101.28999999999999,0,108.0,0.0,0.0,14126.0,3.0,7.0,6.0,7,3,0,0,0,0,0,0,4
8,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,32.0,117.32,0,125.0,0.0,0.0,16144.0,3.0,8.0,6.0,8,3,0,0,0,0,0,0,5
5,Shubman Gill,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,1.0,36.0,133.36,1,142.0,0.0,0.0,18162.0,3.0,9.0,6.0,9,3,0,0,0,0,0,1,6
10,Shubman Gill,2018-04-16,Kolkata Knight Riders,Delhi Capitals,1.0,3.0,17.03,0,18.0,0.0,0.0,2018.0,4.0,1.0,1.0,1,0,0,0,1,0,0,0,0
13,Shubman Gill,2018-04-16,Kolkata Knight Riders,Delhi Capitals,1.0,7.0,34.07,0,36.0,0.0,0.0,4036.0,5.0,2.0,2.0,2,1,0,0,1,0,0,0,0
12,Shubman Gill,2018-04-16,Kolkata Knight Riders,Delhi Capitals,1.0,12.0,52.120000000000005,0,55.0,0.0,0.0,6054.0,6.0,3.0,3.0,3,2,0,0,1,0,0,0,0
11,Shubman Gill,2018-04-16,Kolkata Knight Riders,Delhi Capitals,1.0,19.0,70.19,0,74.0,0.0,0.0,8072.0,6.0,4.0,3.0,4,2,0,0,1,0,0,0,1
9,Shubman Gill,2018-04-16,Kolkata Knight Riders,Delhi Capitals,1.0,21.0,89.21000000000001,1,94.0,0.0,0.0,10090.0,6.0,5.0,3.0,5,2,0,0,1,0,0,1,2
14,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,7.0,16.07,0,17.0,0.0,0.0,2018.0,4.0,1.0,1.0,1,0,0,0,1,0,0,0,0
20,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,11.0,33.11,0,35.0,0.0,0.0,4036.0,4.0,2.0,1.0,2,0,0,0,1,0,0,0,1
23,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,16.0,50.16,0,53.0,0.0,1.0,6054.0,4.0,2.0,2.0,3,0,0,0,1,0,0,0,1
18,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,22.0,67.22,0,71.0,0.0,2.0,8072.0,4.0,2.0,3.0,4,0,0,0,1,0,0,0,1
17,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,29.0,84.28999999999999,0,89.0,0.0,2.0,10090.0,6.0,3.0,3.0,5,0,1,0,1,0,0,0,1
16,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,37.0,101.37,0,107.0,0.0,2.0,12108.0,10.0,4.0,4.0,6,0,1,0,2,0,0,0,1
15,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,39.0,119.39,0,126.0,0.0,2.0,14126.0,11.0,5.0,5.0,7,1,1,0,2,0,0,0,1
21,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,43.0,137.43,0,145.0,0.0,2.0,16144.0,12.0,6.0,6.0,8,2,1,0,2,0,0,0,1
19,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,48.0,156.48,0,165.0,0.0,2.0,18162.0,13.0,7.0,7.0,9,3,1,0,2,0,0,0,1
22,Shubman Gill,2018-04-21,Kolkata Knight Riders,Punjab Kings,1.0,55.0,175.55,0,185.0,0.0,2.0,20180.0,14.0,8.0,8.0,10,4,1,0,2,0,0,0,1
47,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,2.0,5.02,0,6.0,0.0,0.0,2018.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,1
48,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,5.0,10.05,0,12.0,0.0,0.0,4036.0,0.0,2.0,1.0,2,0,0,0,0,0,0,0,2
51,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,9.0,15.09,0,18.0,0.0,0.0,6054.0,0.0,3.0,1.0,3,0,0,0,0,0,0,0,3
40,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,14.0,20.14,0,24.0,0.0,0.0,8072.0,4.0,4.0,2.0,4,0,0,0,1,0,0,0,3
31,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,20.0,25.2,0,30.0,0.0,0.0,10090.0,5.0,5.0,3.0,5,1,0,0,1,0,0,0,3
41,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,21.0,31.21,0,37.0,0.0,0.0,12108.0,6.0,6.0,4.0,6,2,0,0,1,0,0,0,3
43,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,24.0,37.24,0,44.0,0.0,0.0,14126.0,7.0,7.0,5.0,7,3,0,0,1,0,0,0,3
44,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,30.0,43.3,0,51.0,0.0,0.0,16144.0,7.0,8.0,6.0,8,3,0,0,1,0,0,0,4
42,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,32.0,50.32,0,59.0,0.0,0.0,18162.0,8.0,9.0,7.0,9,4,0,0,1,0,0,0,4
53,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,37.0,57.37,0,67.0,0.0,0.0,20180.0,8.0,10.0,7.0,10,4,0,0,1,0,0,0,5
52,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,43.0,64.42999999999999,0,75.0,0.0,0.0,22198.0,10.0,11.0,8.0,11,4,1,0,1,0,0,0,5
27,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,46.0,72.46,0,84.0,0.0,0.0,24216.0,16.0,12.0,9.0,12,4,1,0,1,0,1,0,5
24,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,50.0,80.5,0,93.0,0.0,0.0,26234.0,17.0,13.0,10.0,13,5,1,0,1,0,1,0,5
25,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,56.0,88.56,0,102.0,0.0,0.0,28252.0,18.0,14.0,10.0,14,6,1,0,1,0,1,0,5
33,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,57.0,97.57,0,112.0,0.0,0.0,30270.0,19.0,15.0,11.0,15,7,1,0,1,0,1,0,5
34,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,62.0,106.62,0,122.0,0.0,0.0,32288.0,23.0,16.0,12.0,16,7,1,0,2,0,1,0,5
35,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,68.0,115.67999999999999,0,132.0,0.0,0.0,34306.0,24.0,17.0,13.0,17,8,1,0,2,0,1,0,5
45,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,69.0,125.69,0,143.0,0.0,0.0,36324.0,25.0,18.0,14.0,18,9,1,0,2,0,1,0,5
46,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,75.0,135.75,0,154.0,0.0,0.0,38342.0,25.0,19.0,15.0,19,9,1,0,2,0,1,0,6
30,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,78.0,146.78,0,166.0,0.0,0.0,40360.0,26.0,20.0,15.0,20,10,1,0,2,0,1,0,6
28,Shubman Gill,2018-04-27,Kolkata Knight Riders,Delhi Capitals,2.0,79.0,158.79,0,179.0,0.0,0.0,42378.0,27.0,21.0,16.0,21,11,1,0,2,0,1,0,6
