,bowl_kind,line,length,runs,balls,outs,dots,1s,2s,3s,4s,5s,6s,avg,SR,Dots%,Control%
0,pace bowler,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,435.0,310.0,9,104,118,22,1,60,0,5,48.33,140.32,33.55,80.0
1,spin bowler,OUTSIDE_OFFSTUMP,GOOD_LENGTH,358.0,253.0,8,72,114,25,0,29,0,13,44.75,141.5,28.46,87.75
2,pace bowler,OUTSIDE_OFFSTUMP,GOOD_LENGTH,306.0,297.0,8,133,114,10,2,31,0,7,38.25,103.03,44.78,83.5
3,spin bowler,ON_THE_STUMPS,GOOD_LENGTH,290.0,243.0,6,75,118,26,0,12,0,12,48.33,119.34,30.86,90.12
4,pace bowler,ON_THE_STUMPS,GOOD_LENGTH,246.0,219.0,6,78,99,16,1,19,0,6,41.0,112.33,35.62,90.87
5,pace bowler,OUTSIDE_OFFSTUMP,FULL,216.0,155.0,8,56,60,10,0,19,0,10,27.0,139.35,36.13,79.35
6,pace bowler,ON_THE_STUMPS,FULL,162.0,110.0,7,29,50,8,0,21,0,2,23.14,147.27,26.36,84.55
7,pace bowler,OUTSIDE_OFFSTUMP,SHORT,159.0,75.0,3,17,26,5,1,18,0,8,53.0,212.0,22.67,76.0
8,spin bowler,OUTSIDE_OFFSTUMP,FULL,148.0,98.0,5,29,44,5,0,13,0,7,29.6,151.02,29.59,90.82
9,spin bowler,ON_THE_STUMPS,FULL,136.0,94.0,4,27,44,8,0,7,0,8,34.0,144.68,28.72,88.3
10,pace bowler,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,126.0,96.0,2,30,43,4,1,18,0,0,63.0,131.25,31.25,87.5
11,spin bowler,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,124.0,90.0,0,23,39,14,1,12,0,1,inf,137.78,25.56,94.44
12,spin bowler,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,79.0,45.0,0,6,20,9,1,8,0,1,inf,175.56,13.33,88.89
13,pace bowler,ON_THE_STUMPS,SHORT,39.0,17.0,0,2,9,0,0,3,0,3,inf,229.41,11.76,88.24
14,pace bowler,WIDE_OUTSIDE_OFFSTUMP,FULL,38.0,24.0,2,7,8,4,0,4,0,1,19.0,158.33,29.17,70.83
