balls,Mean_SR
1.0,108.08080808080808
2.0,112.37113402061856
3.0,107.71894736842104
4.0,111.82795698924731
5.0,109.89010989010988
6.0,113.29333333333332
7.0,115.16777777777779
8.0,118.26923076923077
9.0,118.31797297297298
10.0,118.84057971014492
11.0,118.18208955223882
12.0,122.8206153846154
13.0,125.64063492063491
14.0,129.85934426229508
15.0,132.09050847457627
16.0,132.6271186440678
17.0,133.26534482758623
18.0,135.35345454545455
19.0,135.28222222222223
20.0,137.69230769230768
21.0,136.63755102040815
22.0,134.52617021276595
23.0,134.29999999999998
24.0,134.28022727272727
25.0,135.5121951219512
26.0,136.82675
27.0,137.7765
28.0,137.14225
29.0,137.93105263157892
30.0,138.9825
31.0,138.53027777777777
32.0,139.9117142857143
33.0,139.91314285714284
34.0,140.48529411764707
35.0,140.38133333333332
36.0,142.36107142857142
37.0,141.946
38.0,144.62750000000003
39.0,147.66863636363635
40.0,147.85714285714286
41.0,148.43238095238095
42.0,148.98047619047617
43.0,151.82666666666665
44.0,155.6221052631579
45.0,156.60176470588235
46.0,158.11533333333333
47.0,160.23
48.0,163.36833333333334
49.0,161.0381818181818
50.0,173.0
51.0,171.8125
52.0,180.77
53.0,175.094
54.0,175.184
55.0,173.818
56.0,170.98
57.0,169.29749999999999
58.0,168.9675
59.0,165.53333333333333
60.0,165.0
61.0,113.11
62.0,112.9
